model,val_auc,test_auc,test_precision,test_recall,test_f1
LogisticRegression_balanced,0.9757369614512471,0.9803832788526666,0.9294871794871795,0.9415584415584416,0.9354838709677419
RandomForest_200,0.9939173071826133,0.9955325853285037,0.9680170575692963,0.9826839826839827,0.975295381310419
XGBoost,0.9951865594722737,0.9962901610860795,0.9647812166488794,0.9783549783549783,0.9715206878022569
Seq_MLP,0.9931089318844422,0.9943862826515888,0.9632829373650108,0.9653679653679653,0.9643243243243244
Functional_MLP,0.9942029625703096,0.9953522101481285,0.9615795090715048,0.9751082251082251,0.9682966147232671
